Fiscal_Year,Budget_Type,Agency_Name,Sub_Agency_Name,DepartmentName,Sub_DepartmentName,Category,Sub_Category,Stimulus_Type,Funding_Source,Vendor_Name,InvoiceID,InvoiceDt,InvoiceAmt,DistributionAmt,CheckID,CheckDt,CheckAmt,CheckVoidDt
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Contractual Services,"Travel, Out of Town",,General Fund,KENTUCKY LEAGUE OF CITIES INC,1822234,6/30/2017,500,500,929901,7/25/2017,500,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Equipment/Capital Outlay,Furniture and Office Equipment,,General Fund,BEST BUY,1827134,7/11/2017,149.99,149.99,931108,8/1/2017,149.99,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Equipment/Capital Outlay,Furniture and Office Equipment,,General Fund,HENRY STEPHEN OTT,1828266,7/13/2017,99.99,99.99,932039,8/7/2017,139.98,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Supplies,Office Supplies,,General Fund,CULLIGAN WATER SYSTEMS,1822595,6/30/2017,27,27,929853,7/25/2017,27,1/1/1900
2018,Metro Government Operations,Louisville Metro Council,Administration,Metro Council Operations,,Supplies,Office Supplies,,General Fund,OFFICE DEPOT INC,1826682,7/19/2017,-55.79,-55.79,932720,8/9/2017,188.58,1/1/1900
2018,Metro Government Operations,Criminal Justice Commission,Administration,Second Chance Grants,,Contractual Services,Professional Services,,Federally Funded,CENTERSTONE OF KENTUCKY INC,1827345,7/27/2017,12655.73,12655.73,932015,8/7/2017,12655.73,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Training,Training,Contractual Services,Equipment Rental,,General Fund,KONICA MINOLTA BUSINESS SOLUTIONS,1823229,7/11/2017,7921.74,398.56,930960,7/31/2017,7921.74,1/1/1900
2018,Metro Government Operations,Department of Corrections,Administration,Training,Training,Supplies,Clothing/Uniform supplies,,General Fund,MPC PROMOTIONS,1821385,7/6/2017,3794,3794,933129,8/11/2017,5802.65,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Cellular Telephone Services,,General Fund,VERIZON WIRELESS,1825654,7/12/2017,5308.11,5308.11,929985,7/25/2017,10651.33,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Cellular Telephone Services,,General Fund,VERIZON WIRELESS,1814175,6/1/2017,21.17,21.17,930650,7/28/2017,661.33,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Data Communication Services,,General Fund,VERIZON WIRELESS,1826858,7/23/2017,115.1,115.1,932748,8/9/2017,356.9,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Miscellaneous Services,,General Fund,MEDIA LIBRARY INC,1822084,7/1/2017,170,170,930166,7/26/2017,170,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Payments to Contractors,,General Fund,LEGACY INC EVERYBODY HAS ONE,1826863,7/5/2017,2500,2500,931580,8/3/2017,2500,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Professional Services,,General Fund,KLEIN BROTHERS INC,1822809,7/11/2017,68.5,68.5,929669,7/24/2017,173.5,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Professional Services,,General Fund,LINDA GILLOCK,1824102,7/19/2017,40.02,40.02,929107,7/20/2017,40.02,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Temporary Service Contract,,General Fund,AHEAD HUMAN RESOURCES,1825767,7/19/2017,357.22,357.22,931088,8/1/2017,1605.48,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Temporary Service Contract,,General Fund,AHEAD HUMAN RESOURCES,1822459,7/12/2017,229.16,-229.16,930792,7/31/2017,1450.98,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Temporary Service Contract,,General Fund,AHEAD HUMAN RESOURCES,1822459,7/12/2017,229.16,229.16,930792,7/31/2017,1450.98,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,Temporary Service Contract,,General Fund,AHEAD HUMAN RESOURCES,1822459,7/12/2017,229.16,229.16,930792,7/31/2017,1450.98,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Contractual Services,"Travel, Out of Town",,General Fund,DR SARAH MOYER,1829759,8/7/2017,228.86,228.86,932890,8/10/2017,228.86,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,General Fund,AMAZON COM,1825958,7/21/2017,139.51,139.51,930511,7/28/2017,873.7,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1819625,6/30/2017,159.95,159.95,926253,7/6/2017,3762.17,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820215,7/3/2017,149.99,149.99,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820215,7/3/2017,149.99,-149.99,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820215,7/3/2017,149.99,149.99,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820233,7/3/2017,189.94,189.94,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820233,7/3/2017,189.94,189.94,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820233,7/3/2017,189.94,-189.94,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820142,7/3/2017,23.35,-23.35,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820142,7/3/2017,23.35,23.35,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Educational/Training Supplies,,Misc Agreements,AMAZON COM,1820142,7/3/2017,23.35,23.35,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Equipment,,General Fund,AMAZON COM,1824948,7/18/2017,179.99,179.99,930088,7/26/2017,1401.94,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1825372,7/19/2017,23.5,23.5,930511,7/28/2017,873.7,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1824685,7/17/2017,76.21,76.21,930088,7/26/2017,1401.94,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1823922,7/14/2017,44.99,44.99,930088,7/26/2017,1401.94,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1824121,7/13/2017,15.99,15.99,930088,7/26/2017,1401.94,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1821518,7/7/2017,106.4,106.4,931331,8/2/2017,106.4,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1821969,7/11/2017,22.99,22.99,927748,7/14/2017,2824.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,AMAZON COM,1821588,7/7/2017,28.86,28.86,928548,7/19/2017,367.28,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,LINDA GILLOCK,1824069,7/14/2017,17.5,17.5,929106,7/20/2017,17.5,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Administration,,Supplies,Office Supplies,,General Fund,OFFICE DEPOT INC,1818235,4/27/2017,422.19,422.19,930615,7/28/2017,438.24,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Mail & Shipping,,General Fund,UNITED PARCEL SERVICE,1820138,7/1/2017,23.1,23.1,926886,7/10/2017,23.1,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Mail & Shipping,,General Fund,UNITED STATES POSTMASTER,1821269,7/11/2017,850,850,927367,7/12/2017,850,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Medical Equipment Repair,,General Fund,MICRO OPTICAL SERVICE INC,1820371,6/21/2017,695,695,928685,7/19/2017,695,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Medical Equipment Repair,,General Fund,PERKINELMER HEALTH SCIENCES INC,1821986,7/7/2017,12374.82,12374.82,927843,7/14/2017,12374.82,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Pressurized Tank Services,,General Fund,AMERICAN WELDING & GAS INC,1827529,6/30/2017,21.81,14.25,931731,8/4/2017,21.81,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Professional Services,,General Fund,SNELLING MEDICAL STAFFING LLC,1829321,6/30/2017,2991.44,666.72,932734,8/9/2017,2991.44,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Professional Services,,General Fund,SNELLING MEDICAL STAFFING LLC,1829328,7/21/2017,2818.85,1030.09,932577,8/8/2017,23488.26,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Professional Services,,General Fund,SNELLING MEDICAL STAFFING LLC,1829346,7/7/2017,1998.12,1046.48,932577,8/8/2017,23488.26,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Contractual Services,Professional Services,,General Fund,SNELLING MEDICAL STAFFING LLC,1829376,7/14/2017,2216.79,601.99,932577,8/8/2017,23488.26,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,ALERE NORTH AMERICA,1823912,7/7/2017,1094.72,1094.72,929509,7/24/2017,1094.72,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,CAPITOL VIAL INC,1822246,7/6/2017,786.4,786.4,930812,7/31/2017,786.4,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,CEPHEID,1821465,7/7/2017,1218.01,1218.01,931119,8/1/2017,1218.01,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,COBEX RECORDERS INC,1824932,7/6/2017,91,91,930821,7/31/2017,91,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,DAIGGER SCIENTIFIC INC,1824698,7/17/2017,471.75,471.75,933025,8/11/2017,471.75,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,FISHER HEALTHCARE,1824874,7/17/2017,350.77,350.77,933033,8/11/2017,350.77,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,FISHER HEALTHCARE,1822068,7/11/2017,368.48,368.48,932032,8/7/2017,368.48,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,FISHER HEALTHCARE,1822065,7/6/2017,515.82,515.82,930839,7/31/2017,515.82,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,IDEXX DISTRIBUTION INC,1821787,7/10/2017,1763.53,1763.53,927805,7/14/2017,1763.53,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,IDEXX DISTRIBUTION INC,1821681,7/6/2017,1763.53,1763.53,930145,7/26/2017,1763.53,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,MAINE MOLECULAR QUALITY CONTROLS INC,1824394,7/6/2017,361.4,361.4,930867,7/31/2017,361.4,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,MCKESSON MEDICAL SURGICAL INC,1826036,7/6/2017,634.8,634.8,930872,7/31/2017,634.8,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,QUIDEL CORPORATION,1826136,1/19/2017,34.26,34.26,931852,8/4/2017,34.26,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,QUIDEL CORPORATION,1821453,7/6/2017,1206.64,1206.64,930897,7/31/2017,1206.64,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,SIEMENS HEALTHCARE DIAGNOSTICS INC,1824882,7/6/2017,4065.24,4065.24,930208,7/26/2017,4065.24,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,VWR INTERNATIONAL INC,1822766,7/7/2017,170.56,20.89,931256,8/1/2017,170.56,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,VWR INTERNATIONAL INC,1822766,7/7/2017,170.56,149.67,931256,8/1/2017,170.56,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,VWR INTERNATIONAL INC,1822762,7/11/2017,670.58,82.14,928799,7/19/2017,670.58,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,DOH Laboratory,,Supplies,Lab Supplies,,General Fund,VWR INTERNATIONAL INC,1822762,7/11/2017,670.58,588.44,928799,7/19/2017,670.58,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1829464,8/2/2017,539.2,539.2,932862,8/10/2017,539.2,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1822679,7/12/2017,862.72,862.72,928545,7/19/2017,6672.59,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1819614,6/28/2017,1078.4,1078.4,928545,7/19/2017,6672.59,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1821666,7/6/2017,1078.4,1078.4,928545,7/19/2017,6672.59,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1816207,5/10/2017,485.28,485.28,928545,7/19/2017,6672.59,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1819534,6/14/2017,970.56,970.56,928545,7/19/2017,6672.59,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Payments to Contractors,,General Fund,AHEAD HUMAN RESOURCES,1826851,7/26/2017,1051.44,1051.44,930792,7/31/2017,1450.98,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Printing/Copying,,General Fund,UNITED STATES POSTMASTER,1821297,7/11/2017,392,392,927368,7/12/2017,392,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Contractual Services,Temporary Service Contract,,General Fund,SNELLING MEDICAL STAFFING LLC,1758215,11/11/2016,563.2,563.2,932577,8/8/2017,23488.26,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Environmental Admin,,Supplies,Miscellaneous Supplies,,General Fund,ATLAS CORPORATE & NOTARY SUPPLY CO,1827366,7/31/2017,70.9,70.9,931102,8/1/2017,70.9,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Medical Administration,,Contractual Services,External Agency Contractual Services,,General Fund,VOLUNTEERS OF AMERICA MID-STATES,1821267,6/5/2017,100000,100000,927671,7/13/2017,100000,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Medical Administration,,Contractual Services,Landfill/Sanitation Services,,General Fund,CUSTOM DATA PROCESSING INC,1820999,7/1/2017,544,544,931771,8/4/2017,544,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Medical Administration,,Contractual Services,License Renewal,,General Fund,KENTUCKY STATE TREASURER,1820516,7/1/2017,500,500,926812,7/10/2017,500,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Medical Administration,,Contractual Services,Registration Fees,,General Fund,KENTUCKY STATE COUNCIL ENA,1824110,7/14/2017,100,100,929099,7/20/2017,100,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Medical Administration,,Contractual Services,Training & Educational Fees,,General Fund,KENTUCKY SCHOOL OF ALCOHOL & OTHER DRUG,1824099,7/14/2017,600,600,929098,7/20/2017,600,1/1/1900
2018,Metro Government Operations,Public Health & Wellness,Administration & Support Division,Medical Administration,,Supplies,Drugs/Medicine Supplies,,General Fund,POINT DEFIANCE AIDS PROJECT,1819586,6/29/2017,1320,1320,929611,7/24/2017,1320,1/1/1900
