Cite Number,Issue Date,Issue T,Violat,Sublocatio,Street,Meter #,Is Wa,Due
5020001142,04/22/2016,09:13 ,X,,SEE NOTES,,NO,0.00
5140003831,06/02/2016,12:28 ,X,,SEE NOTES,416B,NO,0.00
5160017963,01/28/2016,10:42 ,PT,,SEE NOTES,,NO,0.00
5230003060,03/15/2016,06:37 ,PNP,,SEE NOTES,,NO,50.00
5030000860,05/23/2016,11:40 ,X,,SEE NOTES,WA605A,NO,0.00
5230002622,02/23/2016,06:44 ,PD,,SEE NOTES,,NO,0.00
5160019249,03/02/2016,15:39 ,X,,SEE NOTES,EL1601,NO,0.00
0093307141,01/16/2016,08:25 ,NP,,SEE NOTES,,NO,0.00
0094362811,05/25/2016,17:15 ,NS,,SEE NOTES,,NO,50.00
5250002909,04/02/2016,08:51 ,X,,SEE NOTES,609B,NO,0.00
0094274364,03/22/2016,08:32 ,FL,,SEE NOTES,,NO,0.00
5010004482,05/23/2016,13:45 ,X,,SEE NOTES,MA805B,NO,0.00
5100005857,06/08/2016,16:03 ,X,,SEE NOTES,606A,NO,0.00
5100004349,05/02/2016,12:17 ,X,,SEE NOTES,206B,NO,0.00
5060004309,06/24/2016,16:01 ,X,,SEE NOTES,FL504A,NO,0.00
5060003692,04/27/2016,11:08 ,NSR,,SEE NOTES,,NO,0.00
5150003055,04/28/2016,11:04 ,X,,SEE NOTES,HK515B,NO,50.00
5090004076,06/17/2016,16:01 ,X,,SEE NOTES,600,NO,50.00
5100004007,03/30/2016,11:37 ,X,,SEE NOTES,209,NO,0.00
5170005606,02/05/2016,10:22 ,X,,SEE NOTES,P-505A,NO,0.00
5140003823,06/02/2016,10:43 ,NP,,SEE NOTES,,NO,50.00
5230003031,03/14/2016,11:04 ,S,,SEE NOTES,,NO,0.00
5250002104,03/01/2016,16:51 ,NPP,,SEE NOTES,,NO,0.00
5220003627,06/27/2016,10:11 ,X,,SEE NOTES,204EA,NO,0.00
5070007325,06/16/2016,13:05 ,X,,SEE NOTES,200A,NO,0.00
5100003516,01/15/2016,09:20 ,NSR,,SEE NOTES,,NO,0.00
5010004853,06/09/2016,08:54 ,X,,SEE NOTES,FL603B,NO,0.00
5160021807,05/05/2016,14:00 ,X,,SEE NOTES,1704,NO,0.00
5220001831,01/30/2016,08:31 ,X,,SEE NOTES,302B,NO,0.00
5160018327,02/05/2016,11:35 ,X,,SEE NOTES,407E,NO,0.00
5170005585,02/04/2016,13:10 ,X,,SEE NOTES,FL507B,NO,0.00
0094363824,04/14/2016,19:59 ,PFH,,SEE NOTES,,NO,50.00
5160017914,01/27/2016,12:22 ,X,,SEE NOTES,H1501,NO,0.00
5110001596,04/05/2016,15:22 ,NPP,,SEE NOTES,,NO,0.00
5010005108,06/20/2016,07:39 ,X,,SEE NOTES,6305A,NO,50.00
5260002264,02/27/2016,11:12 ,X,,SEE NOTES,102B,NO,0.00
5060004358,06/29/2016,10:44 ,X,,SEE NOTES,309A,NO,0.00
5250001718,01/29/2016,09:10 ,X,,SEE NOTES,,NO,0.00
5220003367,03/23/2016,11:06 ,X,,SEE NOTES,7636,NO,0.00
5100004557,05/05/2016,16:48 ,X,,SEE NOTES,603B,NO,0.00
5260001534,01/25/2016,12:39 ,X,,SEE NOTES,42000,NO,0.00
5180006825,06/28/2016,12:06 ,X,,SEE NOTES,313E,NO,0.00
5250002939,04/02/2016,10:38 ,X,,SEE NOTES,,NO,0.00
5220003350,03/22/2016,15:44 ,X,,SEE NOTES,,NO,50.00
5120003583,01/29/2016,13:08 ,OTH,,SEE NOTES,105,NO,0.00
5220003358,03/23/2016,10:34 ,NP,,SEE NOTES,,NO,0.00
5260003976,05/13/2016,17:16 ,NPP,,SEE NOTES,,NO,0.00
5150002278,03/22/2016,11:15 ,X,,SEE NOTES,708B,NO,0.00
5160018766,02/17/2016,17:30 ,X,,SEE NOTES,DU2212,NO,0.00
5230002931,03/12/2016,05:40 ,NPS,,SEE NOTES,,NO,0.00
5160019370,03/04/2016,12:52 ,X,,SEE NOTES,510B,NO,0.00
5260001439,01/15/2016,12:35 ,78,,SEE NOTES,,NO,0.00
0094295843,04/23/2016,08:10 ,NS,,SEE NOTES,,NO,0.00
5100005165,05/20/2016,11:46 ,X,,SEE NOTES,646L,NO,50.00
5140002907,01/27/2016,10:12 ,X,,SEE NOTES,J502,NO,0.00
5130002566,04/05/2016,15:11 ,NPP,,SEE NOTES,,NO,0.00
5140002760,01/15/2016,12:28 ,X,,SEE NOTES,LIB505,NO,50.00
0094278155,05/10/2016,15:00 ,EX,,SEE NOTES,,NO,50.00
5030000575,02/11/2016,13:34 ,BT,,SEE NOTES,,NO,0.00
5160019154,02/29/2016,17:18 ,X,,SEE NOTES,D1900,NO,0.00
5050001082,06/28/2016,10:14 ,NSR,,SEE NOTES,,NO,0.00
5260004201,05/25/2016,08:53 ,78,,SEE NOTES,,NO,0.00
5160020551,04/05/2016,12:53 ,X,,SEE NOTES,503B,NO,0.00
5030000552,02/03/2016,11:10 ,X,,SEE NOTES,413B,NO,50.00
5010005211,06/24/2016,08:08 ,NSR,,SEE NOTES,,NO,0.00
5180006187,05/27/2016,10:47 ,X,,SEE NOTES,2001,NO,0.00
5010002962,03/07/2016,15:04 ,X,,SEE NOTES,MA613A,NO,0.00
5010004543,05/25/2016,13:19 ,X,,SEE NOTES,MA603B,NO,0.00
5010003962,04/30/2016,11:09 ,X,,SEE NOTES,M503B,NO,0.00
5010004724,06/02/2016,10:55 ,X,,SEE NOTES,MA204B,NO,0.00
5190003042,02/17/2016,08:44 ,NP,,SEE NOTES,,NO,0.00
5070006115,04/29/2016,13:16 ,X,,SEE NOTES,403B,NO,0.00
0093712861,03/29/2016,20:35 ,H,,SEE NOTES,,NO,0.00
5260002905,03/26/2016,11:37 ,X,,SEE NOTES,403,NO,0.00
5220003361,03/23/2016,10:46 ,NP,,SEE NOTES,,NO,0.00
5230005202,05/16/2016,11:52 ,X,,SEE NOTES,707E,NO,0.00
5220002285,02/13/2016,09:56 ,X,,SEE NOTES,402B,NO,0.00
5070006791,05/23/2016,16:32 ,X,,SEE NOTES,402A,NO,0.00
5150003464,05/21/2016,10:20 ,X,,SEE NOTES,1-200N,NO,0.00
0092641964,01/02/2016,09:30 ,NP,,SEE NOTES,,NO,0.00
5230001979,01/11/2016,07:47 ,NPP,,SEE NOTES,,NO,50.00
5090004270,06/29/2016,15:09 ,NP,,SEE NOTES,,NO,0.00
5230003443,03/25/2016,08:12 ,NP,,SEE NOTES,,NO,50.00
5180005341,02/24/2016,13:50 ,PNP,,SEE NOTES,,NO,0.00
5090002342,02/18/2016,14:10 ,X,,SEE NOTES,ALI313,NO,50.00
0093147180,05/15/2016,09:56 ,OTH,,SEE NOTES,,NO,0.00
5040004632,06/04/2016,09:29 ,X,,SEE NOTES,ALI301,NO,0.00
5010002079,01/27/2016,10:41 ,X,,SEE NOTES,M505A,NO,0.00
5250001846,02/05/2016,15:14 ,NPP,,SEE NOTES,,NO,0.00
5260004089,05/19/2016,12:33 ,X,,SEE NOTES,706A,NO,0.00
5150001943,01/07/2016,15:29 ,X,,SEE NOTES,MA404B,NO,0.00
5110001680,04/28/2016,13:00 ,X,,SEE NOTES,MA606B,NO,0.00
5090004255,06/28/2016,15:13 ,X,,SEE NOTES,704A,NO,0.00
5100004110,04/04/2016,15:25 ,X,,SEE NOTES,6105A,NO,0.00
5220001273,01/04/2016,10:50 ,X,,SEE NOTES,3703,NO,0.00
5140002690,01/11/2016,16:15 ,NPP,,SEE NOTES,,NO,0.00
5100005146,05/19/2016,16:29 ,NPP,,SEE NOTES,,NO,0.00
5230002716,02/26/2016,10:08 ,EX,,SEE NOTES,,NO,0.00
5020000620,02/01/2016,11:48 ,X,,SEE NOTES,405EA,NO,0.00
0094332534,01/07/2016,07:45 ,S,,SEE NOTES,,NO,0.00
5220002038,02/03/2016,15:23 ,NP,,SEE NOTES,,NO,0.00
5160018974,02/24/2016,15:23 ,NPS,,SEE NOTES,,NO,0.00
5150001929,01/07/2016,11:41 ,NP,,SEE NOTES,MA413E,NO,0.00
5200004006,01/13/2016,06:36 ,PFH,,SEE NOTES,,NO,50.00
0092645475,03/24/2016,00:02 ,EX,,SEE NOTES,,NO,0.00
5230003102,03/16/2016,06:11 ,NSR,,SEE NOTES,,NO,50.00
5190002963,02/02/2016,09:03 ,NPS,,SEE NOTES,,NO,0.00
5040004326,04/21/2016,10:31 ,X,,SEE NOTES,ALI303,NO,0.00
0094283755,04/11/2016,08:51 ,S,,SEE NOTES,,NO,0.00
5250002275,03/09/2016,10:52 ,NSR,,SEE NOTES,,NO,0.00
5120004595,06/28/2016,12:46 ,X,,SEE NOTES,1506,NO,0.00
5190002907,01/27/2016,08:48 ,NPS,,SEE NOTES,,NO,0.00
5190003038,02/17/2016,08:27 ,NSR,,SEE NOTES,,NO,0.00
5190003052,02/18/2016,09:25 ,NSR,,SEE NOTES,,NO,0.00
0094411295,06/21/2016,10:00 ,OTH,,SEE NOTES,,NO,0.00
5160020687,04/07/2016,15:32 ,X,,SEE NOTES,1604,NO,0.00
5010003204,03/19/2016,12:08 ,X,,SEE NOTES,M400B,NO,0.00
5040004469,05/17/2016,11:32 ,X,,SEE NOTES,608A,NO,0.00
5120004261,03/21/2016,15:47 ,X,,SEE NOTES,300,NO,0.00
5090003218,04/25/2016,11:38 ,X,,SEE NOTES,6601SR,NO,0.00
5090002397,02/23/2016,07:13 ,X,,SEE NOTES,ALI400,NO,0.00
5070007119,06/08/2016,10:47 ,X,,SEE NOTES,,NO,0.00
5220002029,02/03/2016,13:59 ,NSR,,SEE NOTES,,NO,0.00
5150002252,03/21/2016,11:03 ,X,,SEE NOTES,JK505A,NO,0.00
5230004093,04/13/2016,10:55 ,NSR,,SEE NOTES,,NO,0.00
5150002531,03/31/2016,12:31 ,X,,SEE NOTES,201EA,NO,0.00
5220002787,02/26/2016,13:27 ,X,,SEE NOTES,NA,NO,0.00
5010003724,04/20/2016,12:22 ,X,,SEE NOTES,7101A,NO,0.00
5100004183,04/07/2016,14:38 ,X,,SEE NOTES,LI303A,NO,0.00
5070006534,05/18/2016,14:13 ,X,,SEE NOTES,303B,NO,0.00
5010003057,03/14/2016,17:06 ,LZF,,SEE NOTES,,NO,0.00
5170005837,02/16/2016,12:46 ,X,,SEE NOTES,210A,NO,0.00
5160020511,04/01/2016,17:00 ,X,,SEE NOTES,2232,NO,0.00
5110002078,06/29/2016,10:31 ,X,,SEE NOTES,605B,NO,50.00
5250001972,02/25/2016,15:59 ,X,,SEE NOTES,NA,NO,0.00
5180005718,03/25/2016,08:24 ,X,,SEE NOTES,D-1907,NO,0.00
5220002205,02/11/2016,13:46 ,X,,SEE NOTES,406A,NO,0.00
5010003824,04/26/2016,15:11 ,X,,SEE NOTES,MA214B,NO,50.00
5230003866,04/07/2016,12:06 ,PNP,,SEE NOTES,,NO,0.00
5260001314,01/11/2016,12:45 ,X,,SEE NOTES,42000,NO,0.00
5170004959,01/06/2016,08:27 ,X,,SEE NOTES,CH301A,NO,0.00
5170005577,02/04/2016,10:51 ,X,,SEE NOTES,P-505A,NO,0.00
5030000673,03/24/2016,10:45 ,X,,SEE NOTES,M603A,NO,50.00
5010005064,06/16/2016,10:12 ,LZF,,SEE NOTES,,NO,0.00
5170006209,03/09/2016,07:11 ,X,,SEE NOTES,1-104E,NO,50.00
5090002732,03/24/2016,07:07 ,X,,SEE NOTES,ALI400,NO,0.00
5160018470,02/09/2016,15:31 ,X,,SEE NOTES,DU2230,NO,0.00
5160019344,03/04/2016,10:05 ,X,,SEE NOTES,200A,NO,50.00
5230002179,01/25/2016,08:42 ,NPP,,SEE NOTES,,NO,0.00
5090002920,04/11/2016,09:38 ,HOR,,SEE NOTES,,NO,0.00
0093846734,03/31/2016,10:15 ,NP,,SEE NOTES,,NO,50.00
5260004766,06/18/2016,13:11 ,X,,SEE NOTES,L308,NO,0.00
5110001406,03/24/2016,09:30 ,NP,,SEE NOTES,,NO,50.00
5010005084,06/17/2016,08:38 ,NP,,SEE NOTES,,NO,0.00
5070006167,05/02/2016,10:40 ,X,,SEE NOTES,614A,NO,50.00
5220001420,01/08/2016,15:14 ,X,,SEE NOTES,3604,NO,0.00
5170005154,01/13/2016,11:05 ,PNP,,SEE NOTES,,NO,0.00
5150002117,03/12/2016,15:27 ,X,,SEE NOTES,1-206N,NO,50.00
5220003601,06/17/2016,13:29 ,X,,SEE NOTES,FL508A,NO,0.00
5260002144,02/23/2016,09:50 ,78,,SEE NOTES,,NO,0.00
5010003303,03/22/2016,10:54 ,X,,SEE NOTES,M706A,NO,0.00
5040003275,01/08/2016,13:26 ,X,,SEE NOTES,,NO,50.00
0094168001,03/27/2016,13:07 ,OTH,,SEE NOTES,,NO,50.00
5120004238,03/14/2016,13:48 ,X,,SEE NOTES,610B,NO,0.00
5150003626,06/03/2016,16:20 ,NPP,,SEE NOTES,,NO,0.00
5070005591,01/07/2016,11:29 ,NPG,,SEE NOTES,,NO,0.00
5190003090,02/23/2016,13:48 ,NPB,,SEE NOTES,,NO,0.00
0094096354,01/07/2016,01:20 ,FL,,SEE NOTES,,NO,0.00
5130003026,04/26/2016,11:14 ,X,,SEE NOTES,106,NO,0.00
5180005101,02/08/2016,12:17 ,X,,SEE NOTES,EL1600,NO,0.00
5100006134,06/16/2016,14:45 ,X,,SEE NOTES,512B,NO,0.00
5060003405,02/03/2016,15:19 ,X,,SEE NOTES,J604B,NO,0.00
5130003258,05/31/2016,16:20 ,X,,SEE NOTES,NA,NO,0.00
5150002898,04/22/2016,10:18 ,WA,,SEE NOTES,,NO,0.00
5250002209,03/07/2016,09:10 ,NP,,SEE NOTES,,NO,0.00
5040004816,06/23/2016,07:39 ,X,,SEE NOTES,521,NO,0.00
5180004959,02/01/2016,10:17 ,PNP,,SEE NOTES,,NO,0.00
5110002021,06/25/2016,14:08 ,X,,SEE NOTES,500,NO,50.00
5100003988,03/23/2016,16:04 ,X,,SEE NOTES,M700A,NO,0.00
5130002637,04/07/2016,16:11 ,H,,SEE NOTES,,NO,135.00
5230003927,04/08/2016,09:33 ,S,,SEE NOTES,,NO,50.00
5120004586,06/28/2016,11:09 ,X,,SEE NOTES,2002,NO,0.00
5100004245,04/28/2016,11:29 ,X,,SEE NOTES,313A,NO,0.00
5220002557,02/19/2016,00:00 ,X,,SEE NOTES,,NO,0.00
5140003122,02/16/2016,10:44 ,NP,,SEE NOTES,J601,NO,50.00
5250001721,01/29/2016,10:07 ,NPC,,SEE NOTES,,NO,0.00
5230003191,03/17/2016,10:09 ,S,,SEE NOTES,,NO,0.00
0094057703,03/26/2016,09:52 ,PNP,,SEE NOTES,,NO,0.00
5180006087,05/13/2016,11:09 ,BT,,SEE NOTES,,NO,0.00
5230004243,04/18/2016,10:09 ,S,,SEE NOTES,,NO,0.00
5100004145,04/05/2016,16:43 ,X,,SEE NOTES,304A,NO,0.00
5060003812,05/05/2016,11:06 ,X,,SEE NOTES,105E,NO,0.00
5030001039,06/29/2016,09:31 ,BT,,SEE NOTES,,NO,0.00
5170005855,02/17/2016,10:27 ,X,,SEE NOTES,309EA,NO,0.00
5100003733,01/30/2016,14:54 ,X,,SEE NOTES,1103N,NO,0.00
5090003820,06/01/2016,08:44 ,PFH,,SEE NOTES,,NO,0.00
5230004090,04/13/2016,10:28 ,NSR,,SEE NOTES,,NO,0.00
5170005189,01/14/2016,12:20 ,X,,SEE NOTES,FL504A,NO,0.00
5150002061,03/10/2016,13:00 ,X,,SEE NOTES,FL500A,NO,0.00
5090003395,05/06/2016,13:38 ,X,,SEE NOTES,FL506A,NO,0.00
5010004750,06/03/2016,13:22 ,X,,SEE NOTES,FL504A,NO,0.00
5100005865,06/08/2016,17:13 ,X,,SEE NOTES,504A,NO,0.00
5150002037,03/10/2016,09:03 ,X,,SEE NOTES,JK503A,NO,0.00
5040004674,06/04/2016,13:14 ,NP,,SEE NOTES,,NO,0.00
5160020252,03/24/2016,16:13 ,NPP,,SEE NOTES,,NO,0.00
5160020965,04/14/2016,16:11 ,NPP,,SEE NOTES,,NO,0.00
0094297394,04/23/2016,10:16 ,NS,,SEE NOTES,,NO,0.00
5170005744,02/08/2016,14:33 ,X,,SEE NOTES,1-523,NO,0.00
5100004162,04/06/2016,15:11 ,X,,SEE NOTES,3102A,NO,0.00
5200004280,04/18/2016,10:17 ,X,,SEE NOTES,201A,NO,0.00
5250002752,03/26/2016,14:32 ,X,,SEE NOTES,407A,NO,0.00
5010005036,06/15/2016,13:31 ,NP,,SEE NOTES,,NO,0.00
5090002635,03/18/2016,09:56 ,LZF,,SEE NOTES,,NO,0.00
5220002277,02/13/2016,08:50 ,X,,SEE NOTES,302A,NO,0.00
5100003468,01/13/2016,10:49 ,X,,SEE NOTES,8305B,NO,50.00
5250001724,01/29/2016,13:41 ,W,,SEE NOTES,,YES,0.00
5220003484,06/01/2016,11:42 ,X,,SEE NOTES,MA700B,NO,50.00
5230005630,05/27/2016,09:53 ,PNP,,SEE NOTES,,NO,50.00
5070006742,05/21/2016,17:33 ,X,,SEE NOTES,100,NO,0.00
5220002607,02/22/2016,11:07 ,X,,SEE NOTES,701,NO,50.00
5120003636,02/02/2016,10:25 ,X,,SEE NOTES,206N,NO,50.00
5110001489,03/30/2016,10:50 ,X,,SEE NOTES,507B,NO,0.00
5090002989,04/13/2016,14:04 ,PFH,,SEE NOTES,,NO,0.00
5040004044,03/08/2016,10:19 ,X,,SEE NOTES,5103A,NO,0.00
5220003320,03/22/2016,10:22 ,X,,SEE NOTES,4709,NO,50.00
5120004101,03/03/2016,15:22 ,NPP,,SEE NOTES,,NO,0.00
5040004116,03/16/2016,11:04 ,X,,SEE NOTES,NA,NO,0.00
5180006677,06/20/2016,13:28 ,X,,SEE NOTES,2202,NO,0.00
5160018056,01/29/2016,16:05 ,NPP,,SEE NOTES,,NO,50.00
5120004605,06/28/2016,13:13 ,PD,,SEE NOTES,,NO,0.00
5160019684,03/14/2016,09:46 ,NPS,,SEE NOTES,,NO,0.00
5230005545,05/26/2016,09:23 ,S,,SEE NOTES,,NO,0.00
0094359985,02/12/2016,03:15 ,EX,,SEE NOTES,,NO,0.00
5230003554,03/30/2016,08:32 ,S,,SEE NOTES,,NO,0.00
5060004027,06/02/2016,10:27 ,X,,SEE NOTES,102N,NO,0.00
5260002439,03/03/2016,08:55 ,78,,SEE NOTES,,NO,0.00
5230004422,04/21/2016,09:48 ,NS,,SEE NOTES,,NO,0.00
5230002028,01/14/2016,10:03 ,X,,SEE NOTES,103B,NO,0.00
5120003488,01/27/2016,11:01 ,X,,SEE NOTES,409E,NO,0.00
5100006027,06/14/2016,15:50 ,X,,SEE NOTES,209EA,NO,0.00
5180005023,02/03/2016,12:36 ,X,,SEE NOTES,EL1604,NO,50.00
5090002264,02/12/2016,10:24 ,X,,SEE NOTES,ALI412,NO,0.00
5160021342,04/25/2016,08:12 ,X,,SEE NOTES,2220,NO,0.00
5170004937,01/05/2016,12:47 ,NP,,SEE NOTES,,NO,50.00
5160022117,05/17/2016,13:08 ,X,,SEE NOTES,1605,NO,0.00
5110001024,03/02/2016,11:19 ,X,,SEE NOTES,MA805,NO,0.00
5160017043,01/05/2016,11:07 ,X,,SEE NOTES,603A,NO,0.00
5190002924,01/28/2016,09:16 ,NPS,,SEE NOTES,,NO,0.00
5260004633,06/13/2016,14:00 ,X,,SEE NOTES,GB204,NO,0.00
5220002604,02/22/2016,11:01 ,X,,SEE NOTES,7512,NO,0.00
5100005546,05/31/2016,17:27 ,X,,SEE NOTES,701L,NO,0.00
0093533366,06/02/2016,21:45 ,PNP,,SEE NOTES,,NO,0.00
5120003808,02/11/2016,10:49 ,NP,,SEE NOTES,,NO,0.00
0094384566,02/22/2016,11:50 ,AB,,SEE NOTES,,NO,50.00
5260003151,04/06/2016,09:49 ,97,,SEE NOTES,,NO,0.00
5100006239,06/20/2016,11:18 ,X,,SEE NOTES,309A,NO,0.00
5170005674,02/06/2016,13:11 ,LZF,,SEE NOTES,,NO,0.00
5160021443,04/27/2016,13:06 ,X,,SEE NOTES,1700,NO,0.00
5040003584,02/02/2016,10:10 ,X,,SEE NOTES,MA706B,NO,0.00
5260001905,02/15/2016,09:00 ,X,,SEE NOTES,41900,NO,0.00
5260004224,05/25/2016,16:40 ,NPP,,SEE NOTES,,NO,0.00
5230003907,04/08/2016,08:42 ,S,,SEE NOTES,,NO,0.00
5010004922,06/11/2016,14:24 ,NSR,,SEE NOTES,,NO,0.00
5170005207,01/15/2016,07:34 ,X,,SEE NOTES,CH207B,NO,0.00
5260001672,02/01/2016,14:08 ,X,,SEE NOTES,8300A,NO,0.00
5250002254,03/08/2016,14:59 ,X,,SEE NOTES,602A,NO,0.00
0094291260,06/07/2016,08:24 ,S,,SEE NOTES,,NO,50.00
5160018993,02/25/2016,09:59 ,X,,SEE NOTES,402B,NO,0.00
5220003263,03/17/2016,17:13 ,X,,SEE NOTES,300A,NO,0.00
0094287174,06/20/2016,08:59 ,S,,SEE NOTES,,NO,50.00
5040003967,02/26/2016,11:15 ,X,,SEE NOTES,MA405B,NO,0.00
5230003809,04/06/2016,11:48 ,NP,,SEE NOTES,,NO,0.00
5160018610,02/12/2016,12:44 ,WA,,SEE NOTES,,NO,0.00
0093710466,06/10/2016,22:02 ,H,,SEE NOTES,,NO,0.00
5180006623,06/17/2016,12:56 ,PTZ,,SEE NOTES,,NO,0.00
5070005691,01/09/2016,12:30 ,X,,SEE NOTES,FL108,NO,0.00
5260001810,02/09/2016,09:09 ,X,,SEE NOTES,31905,NO,0.00
5120003925,02/18/2016,11:05 ,NP,,SEE NOTES,,NO,0.00
5160017190,01/07/2016,17:30 ,X,,SEE NOTES,202EB,NO,0.00
0094000631,01/31/2016,00:59 ,H,,SEE NOTES,,NO,0.00
5100005652,06/02/2016,17:07 ,X,,SEE NOTES,607A,NO,50.00
5250002162,03/03/2016,11:21 ,X,,SEE NOTES,LIB407,NO,0.00
5010004042,05/02/2016,16:48 ,X,,SEE NOTES,MA303B,NO,0.00
5160019239,03/02/2016,13:49 ,X,,SEE NOTES,309E,NO,0.00
5010005202,06/23/2016,13:59 ,X,,SEE NOTES,7102NB,NO,50.00
5130002522,02/24/2016,15:19 ,NPP,,SEE NOTES,,NO,50.00
0092667444,02/05/2016,18:10 ,PFH,,SEE NOTES,,NO,50.00
5150003274,05/10/2016,07:33 ,X,,SEE NOTES,HK516B,NO,0.00
5100006611,06/29/2016,17:12 ,X,,SEE NOTES,1901,NO,0.00
5010003552,04/14/2016,11:52 ,X,,SEE NOTES,6100A,NO,50.00
5230002554,02/17/2016,11:20 ,PNP,,SEE NOTES,,NO,0.00
5230006266,06/20/2016,06:56 ,NSR,,SEE NOTES,,NO,0.00
5140003142,02/17/2016,10:29 ,H,,SEE NOTES,,NO,0.00
5040004345,04/25/2016,10:01 ,NP,,SEE NOTES,,NO,0.00
5150002983,04/26/2016,15:16 ,NPP,,SEE NOTES,,NO,0.00
5040004262,04/14/2016,10:12 ,NSR,,SEE NOTES,,NO,0.00
5040003720,02/11/2016,13:56 ,NPG,,SEE NOTES,,NO,50.00
5040004595,06/03/2016,08:48 ,NPP,,SEE NOTES,,NO,0.00
5150003180,05/05/2016,08:29 ,NSR,,SEE NOTES,,NO,0.00
5160018040,01/29/2016,15:08 ,PSW,,SEE NOTES,,NO,0.00
5040003489,01/27/2016,10:24 ,X,,SEE NOTES,,NO,0.00
0094326680,01/07/2016,08:07 ,S,,SEE NOTES,,NO,50.00
5200004100,02/15/2016,00:00 ,X,,SEE NOTES,506B,NO,0.00
5100004543,05/05/2016,15:45 ,X,,SEE NOTES,203A,NO,0.00
5220002087,02/04/2016,17:43 ,X,,SEE NOTES,400A,NO,0.00
5010001942,01/15/2016,10:57 ,X,,SEE NOTES,7202A,NO,0.00
